crd_number,platform_name,firm_name
6413,iCapital,LPL Financial LLC
6649,iCapital,Raymond James Financial Services Inc
7691,iCapital,Merrill Lynch Pierce Fenner & Smith
8174,iCapital,UBS Financial Services Inc
19616,iCapital,Wells Fargo Clearing Services LLC
6363,iCapital,Ameriprise Financial Services LLC
149777,iCapital,Morgan Stanley Smith Barney LLC
40543,iCapital,Commonwealth Financial Network
39543,iCapital,Cambridge Investment Research Advisors Inc
3760,iCapital,Northwestern Mutual Investment Services LLC
5765,iCapital,Lincoln Financial Advisors Corp
23795,iCapital,Royal Alliance Associates Inc
10205,iCapital,Securities America Advisors Inc
15176,iCapital,Cetera Investment Services LLC
131624,iCapital,Kestra Advisory Services LLC
107312,iCapital,Cambridge Investment Research Inc
43812,iCapital,Triad Advisors LLC
288477,iCapital,Sanctuary Wealth Management LLC
310096,iCapital,Altium Wealth Management LLC
173762,iCapital,Buckingham Strategic Wealth LLC
134055,iCapital,Savant Wealth Management LLC
146006,iCapital,Beacon Pointe Advisors LLC
289249,iCapital,Mariner Wealth Advisors LLC
282767,iCapital,Captrust Financial Advisors
107652,iCapital,Fiducient Advisors LLC
126292,iCapital,Plante Moran Financial Advisors LLC
160182,iCapital,Balasa Dinverno & Foltz LLC
128884,iCapital,Moneta Group Investment Advisors LLC
104563,iCapital,Wealth Enhancement Group LLC
278021,iCapital,Silvercrest Asset Management LLC
312445,iCapital,Round Table Wealth Management
291834,iCapital,Pathstone Family Office LLC
197568,iCapital,Kayne Anderson Rudnick Investment Management LLC
246190,iCapital,Integrated Partners LLC
163293,iCapital,Avalon Investment & Advisory LLC
253801,iCapital,Cerity Partners LLC
289066,iCapital,Sequoia Financial Advisors LLC
148204,iCapital,Highpoint Advisor Group LLC
285533,iCapital,WealthPoint Advisors LLC
157523,iCapital,Tandem Capital Management LLC
166749,iCapital,Summit Financial LLC
221189,iCapital,Verdence Capital Advisors LLC
244902,iCapital,Homrich Berg LLC
137045,iCapital,Baird Investment Management
109302,iCapital,Cornerstone Investment Partners LLC
193486,iCapital,Halbert Hargrove Global Advisors LLC
136158,iCapital,Baldwin Investment Management LLC
175290,iCapital,CI Private Wealth LLC
318003,iCapital,Stewardship Advisory Group LLC
261104,iCapital,Pinnacle Financial Partners Inc
6413,CAIS,LPL Financial LLC
40543,CAIS,Commonwealth Financial Network
107312,CAIS,Cambridge Investment Research Inc
15176,CAIS,Cetera Investment Services LLC
131624,CAIS,Kestra Advisory Services LLC
288477,CAIS,Sanctuary Wealth Management LLC
282767,CAIS,Captrust Financial Advisors
173762,CAIS,Buckingham Strategic Wealth LLC
134055,CAIS,Savant Wealth Management LLC
278021,CAIS,Silvercrest Asset Management LLC
246190,CAIS,Integrated Partners LLC
253801,CAIS,Cerity Partners LLC
289066,CAIS,Sequoia Financial Advisors LLC
197568,CAIS,Kayne Anderson Rudnick Investment Management LLC
285533,CAIS,WealthPoint Advisors LLC
157523,CAIS,Tandem Capital Management LLC
244902,CAIS,Homrich Berg LLC
193486,CAIS,Halbert Hargrove Global Advisors LLC
318003,CAIS,Stewardship Advisory Group LLC
261104,CAIS,Pinnacle Financial Partners Inc
312445,CAIS,Round Table Wealth Management
291834,CAIS,Pathstone Family Office LLC
221189,CAIS,Verdence Capital Advisors LLC
163293,CAIS,Avalon Investment & Advisory LLC
166749,CAIS,Summit Financial LLC
